game_id,date,home_team,away_team,home_pitcher,away_pitcher,home_pitcher_era,home_pitcher_k9,away_pitcher_era,away_pitcher_k9,yrfi
661993,2022-04-14,Texas Rangers,Los Angeles Angels,Dane Dunning,Shohei Ohtani,10.285714285714285,7.7142857142857135,1.9285714285714284,17.357142857142858,1
662237,2022-04-14,San Diego Padres,Atlanta Braves,Joe Musgrove,Charlie Morton,6.096774193548388,10.451612903225808,3.375,8.4375,1
662307,2022-04-14,Pittsburgh Pirates,Washington Nationals,JT Brubaker,Joan Adon,4.242857142857142,7.135714285714285,7.5600000000000005,8.640000000000002,1
662627,2022-04-14,Los Angeles Dodgers,Cincinnati Reds,Walker Buehler,Luis Cessa,6.3,8.1,1.9285714285714288,7.714285714285715,1
662702,2022-04-14,Kansas City Royals,Detroit Tigers,Zack Greinke,Casey Mize,1.5319148936170213,1.5319148936170213,6.750000000000001,2.8928571428571432,0
662950,2022-04-14,Colorado Rockies,Chicago Cubs,Kyle Freeland,Justin Steele,5.0,8.0,0.0,9.0,1
661267,2022-04-15,Milwaukee Brewers,St. Louis Cardinals,Freddy Peralta,Miles Mikolas,8.640000000000002,11.880000000000003,2.793103448275862,1.8620689655172413,1
661417,2022-04-15,Miami Marlins,Philadelphia Phillies,Pablo López,Zach Eflin,6.230769230769231,10.384615384615383,1.1739130434782608,11.73913043478261,1
661528,2022-04-15,Chicago White Sox,Tampa Bay Rays,Dylan Cease,Drew Rasmussen,1.8,14.4,3.681818181818182,11.045454545454545,0
661792,2022-04-15,Toronto Blue Jays,Oakland Athletics,Ross Stripling,Daulton Jefferies,6.0,3.0,3.1153846153846154,3.1153846153846154,1
662014,2022-04-15,Texas Rangers,Los Angeles Angels,Matt Bush,Reid Detmers,0.0,6.0,4.695652173913043,10.56521739130435,1
662192,2022-04-15,Seattle Mariners,Houston Astros,Marco Gonzales,Jake Odorizzi,4.5,6.75,4.5,4.5,1
662236,2022-04-15,San Diego Padres,Atlanta Braves,MacKenzie Gore,Kyle Wright,12.0,15.0,0.0,10.451612903225808,0
662291,2022-04-15,Pittsburgh Pirates,Washington Nationals,Mitch Keller,Erick Fedde,9.391304347826086,10.56521739130435,1.862068965517241,9.310344827586206,1
662485,2022-04-15,New York Mets,Arizona Diamondbacks,Chris Bassitt,Zach Davies,2.454545454545454,11.454545454545455,2.8928571428571432,3.8571428571428577,1
662620,2022-04-15,Los Angeles Dodgers,Cincinnati Reds,Tony Gonsolin,Vladimir Gutierrez,5.142857142857142,10.285714285714285,6.48,6.48,0
